batch,x_min,x_max,y_min,y_max
1,58550.0,63050.0,437550.0,444550.0
2,63050.0,65450.0,444550.0,436350.0
3,65450.0,67550.0,436350.0,432850.0
4,67550.0,69350.0,432850.0,439950.0
5,69350.0,70950.0,439950.0,443950.0
6,70950.0,72350.0,443950.0,450850.0
7,72350.0,73650.0,450850.0,449850.0
8,73650.0,74950.0,449850.0,427850.0
9,74950.0,76050.0,427850.0,446750.0
10,76050.0,77150.0,446750.0,442550.0
11,77150.0,78250.0,442550.0,433250.0
12,78250.0,79350.0,433250.0,426150.0
13,79350.0,80350.0,426150.0,449250.0
14,80350.0,81450.0,449250.0,432850.0
15,81450.0,82450.0,432850.0,443750.0
16,82450.0,83450.0,443750.0,448050.0
17,83450.0,84450.0,448050.0,445950.0
18,84450.0,85450.0,445950.0,440550.0
19,85450.0,86450.0,440550.0,430150.0
20,86450.0,87350.0,430150.0,451050.0
21,87350.0,88350.0,451050.0,432050.0
22,88350.0,89250.0,432050.0,448050.0
23,89250.0,90250.0,448050.0,427350.0
24,90250.0,91150.0,427350.0,441850.0
25,91150.0,92050.0,441850.0,442050.0
26,92050.0,92950.0,442050.0,434750.0
27,92950.0,93850.0,434750.0,424550.0
28,93850.0,94650.0,424550.0,450750.0
29,94650.0,95550.0,450750.0,436350.0
30,95550.0,96450.0,436350.0,422750.0
31,96450.0,97250.0,422750.0,450850.0
32,97250.0,98150.0,450850.0,440050.0
33,98150.0,99050.0,440050.0,433550.0
34,99050.0,99950.0,433550.0,428150.0
35,99950.0,101250.0,428150.0,426350.0
36,101250.0,102450.0,426350.0,451950.0
37,102450.0,103750.0,451950.0,448850.0
38,103750.0,105050.0,448850.0,443550.0
39,105050.0,106350.0,443550.0,433950.0
40,106350.0,107550.0,433950.0,450450.0
41,107550.0,108850.0,450450.0,437350.0
42,108850.0,110050.0,437350.0,452450.0
43,110050.0,111350.0,452450.0,441250.0
44,111350.0,112650.0,441250.0,430850.0
45,112650.0,113850.0,430850.0,445850.0
46,113850.0,115150.0,445850.0,432550.0
47,115150.0,116350.0,432550.0,446450.0
48,116350.0,117650.0,446450.0,431550.0
49,117650.0,118850.0,431550.0,443950.0
50,118850.0,119950.0,443950.0,452950.0
